mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa
553993,Eugenio Suarez,ARI,69.725075,23.99475,2.3874,25.0792,1.15,66.125,75.9,0.7253464,170.2,48.875,0.2303377,0.0618092,0.3120665,3.6126301,575
663837,Matt Vierling,DET,92.184,25.2862,5.6166,13.9932,10.35,66.7,67.275,2.4894269,113.275,44.85,0.2585683,0.0693846,0.314652,3.5726052,575
606115,Orlando Arcia,ATL,77.51052,23.26104,0,13.351824,1.944,58.86,57.24,0.5619307,113.4,39.42,0.2279823,0.0574533,0.2806887,1.5995399,540
645302,Victor Robles,SEA,85.305792,26.3978,0.911768,8.0839616,42.328,72.072,49.764,5.148,111.54,45.188,0.2291127,0.0611597,0.2749048,5.8973632,572
663624,Ryan Mountcastle,BAL,91.926432,28.218249,1.232218,23.1040875,3.1976,70.233,79.369,1.1219577,131.33,37.115,0.2706219,0.072114,0.3333459,4.2418885,571
676356,Jonny Deluca,TB,80.277365,24.184776,4.397232,10.13958,21.622,64.866,58.038,5.2901884,113.8,44.382,0.2268297,0.0602327,0.2795775,3.7942947,569
686681,Michael Massey,KC,85.809216,31.20894,3.065904,18.93771,2.82,63.732,70.5,1.3808055,102.648,28.764,0.2597392,0.0683655,0.3144943,3.1836508,564
690993,Colt Keith,DET,96.857328,23.102696,4.117212,15.254928,3.934,68.564,69.126,1.5818387,103.408,45.522,0.2697737,0.0707548,0.3255852,3.142421,562
669357,Nolan Gorman,STL,64.066314,23.249378,0,27.056928,3.372,64.63,75.87,2.0851236,184.898,51.142,0.2238834,0.058719,0.311939,3.8976109,562
467793,Carlos Santana,CLE,75.685632,23.80884,0,17.0544,3.1977,65.637,70.125,0.8985867,103.224,60.588,0.2329058,0.0609766,0.3080123,2.8411883,561
656555,Rhys Hoskins,MIL,60.920673,27.100788,0,24.85791,1.683,63.954,77.979,0.8743127,160.446,56.1,0.2235678,0.0585319,0.31438,3.5384328,561
,Nick Gonzales,PIT,87.9552,28.431,2.88684,12.4335,8.1,61.02,58.32,2.1804866,107.46,42.12,0.2645347,0.0666648,0.3181376,2.6136346,540
673962,Josh Jung,TEX,80.841222,25.523256,2.167704,22.831578,2.805,68.442,71.808,1.7139626,146.982,30.855,0.2477884,0.064873,0.3097405,3.6263954,561
,Jeimer Candelario,CIN,70.229985,30.37944,2.313875,18.08835,3.21,62.595,65.805,1.9208865,127.865,44.94,0.2469323,0.0616527,0.3195568,2.7307103,535
664040,Brandon Lowe,TB,70.741965,25.73424,3.0636,26.3736,6.105,75.48,71.04,1.5644261,144.855,48.285,0.2484896,0.0643608,0.3346746,4.5124846,555
,Tyler Fitzgerald,SF,73.637196,25.84566,3.823056,15.00783,22.24,63.384,61.716,4.9586863,165.132,37.808,0.2283203,0.0592433,0.2869822,4.3690306,556
,Matt Shaw,CHC,77.34438,22.83057,3.303594,11.986425,16.032,60.12,56.613,4.861564,111.222,43.086,0.2521543,0.0589555,0.3111543,3.1103585,501
681082,Bryson Stott,PHI,93.899616,22.673952,2.81244,12.93336,24.4536,65.136,57.96,5.2356929,95.496,45.264,0.2611209,0.0672668,0.3133237,4.6235439,552
,Tirso Ornelas,SD,82.0952,23.2562,0.8723,17.0445,6.6,55.55,61.6,1.6238409,113.3,41.8,0.2425584,0.0622586,0.3018898,2.6737295,550
571448,Nolan Arenado,STL,90.94085,26.6376,1.6401,17.1336,2.2,65.45,70.95,1.076461,84.15,35.75,0.2651476,0.0680567,0.3185982,2.9989543,550
660670,Ronald Acuna Jr.,ATL,79.5567,26.523068,1.48485,22.855228,34.386,87.007,61.999,8.8996506,100.032,59.915,0.2828542,0.0687734,0.3705868,7.5490818,521
671277,Luis Garcia Jr.,WAS,99.05805,24.638796,2.011464,17.279808,17.472,63.3906,69.7242,5.2870843,90.09,34.398,0.2794909,0.0712165,0.3293858,4.7203243,546
686797,Brooks Lee,MIN,86.048415,28.53075,2.11024,15.82462,6.54,62.675,61.585,1.662744,81.205,44.69,0.2648638,0.0673658,0.3258729,2.9458311,545
,Kyle Stowers,MIA,72.55872,25.60608,2.363136,15.081856,1.088,59.296,62.016,0.8895719,169.728,39.168,0.2290065,0.0581389,0.2888163,1.8607841,544
,Hyeseong Kim,LAD,101.967255,27.13914,4.090419,7.1676,22.263,66.246,46.155,0,80.364,50.499,0.2850033,0.0722221,0.3309894,3.6489078,543
666139,Josh Lowe,TB,71.5155,26.3718,2.898,16.632,30.45,64.575,67.2,4.7674423,144.9,46.2,0.2452325,0.0600838,0.3161665,5.6831413,525
596115,Trevor Story,BOS,70.70598,28.6416,1.71072,18.2952,14.04,62.1,65.34,5.2507239,162.54,37.8,0.2376613,0.0598925,0.3031852,3.8684429,540
